Route;Passengers per Revenue Hour;Cost per Passenger;Vehicle Hours;Vehicle Miles;Peak Vehicles;Avg. Weekday Passengers;Annual Passengers;Operating Ratio;Passenger Revenue;Fully Allocated Expenses;Type
52;42.6;$2.47;88,909;707,650;24;12,038;3,493,195;33%;$4,205,807;$12,849,799;City Bus
53;29.9;$3.70;27,764;240,210;6;2,555;766,500;25%;$922,866;$3,761,029;City Bus
54;53.5;$1.35;43,636;270,770;9;7,178;2,153,400;47%;$2,592,694;$5,491,720;City Bus
56;48.7;$2.20;67,030;586,330;20;10,912;3,008,278;35%;$3,621,967;$10,247,571;City Bus
57;35.1;$3.38;90,402;861,710;24;9,765;2,929,500;26%;$3,527,118;$13,421,029;City Bus
58;35.1;$3.38;74,649;832,660;18;8,062;2,418,600;26%;$2,911,994;$11,078,233;City Bus
59;77.5;$1.33;16,540;144,460;7;4,068;1,182,018;48%;$1,423,150;$2,992,439;City Bus
60;62.8;$1.07;51,300;383,960;11;10,378;2,968,097;53%;$3,573,589;$6,746,325;City Bus
61;25.4;$4.83;46,000;412,532;11;3,589;1,076,700;20%;$1,296,347;$6,496,717;City Bus
64;36;$3.27;47,391;425,600;13;5,247;1,574,100;27%;$1,895,216;$7,042,017;City Bus
65;46.2;$2.27;53,788;586,950;13;7,635;2,290,500;35%;$2,757,762;$7,948,423;City Bus
66;69.7;$1.38;40,573;384,734;14;8,950;2,607,562;47%;$3,139,505;$6,741,502;City Bus
67;31.1;$4.18;47,708;586,800;12;4,556;1,366,800;22%;$1,645,627;$7,352,216;City Bus
68;24.2;$5.43;25,240;416,610;4;1,875;562,500;18%;$677,250;$3,728,952;City Bus
70;41.2;$2.68;59,454;604,930;15;7,533;2,259,900;31%;$2,720,920;$8,781,449;City Bus
73;32.3;$3.10;22,429;197,520;4;2,226;667,800;28%;$804,031;$2,872,751;City Bus
75;58.2;$2.76;14,132;126,263;8;2,616;758,034;30%;$912,673;$3,002,723;City Bus
79;49.7;$1.69;33,166;201,450;8;5,066;1,519,800;42%;$1,829,839;$4,401,898;City Bus
84;28;$4.83;38,145;464,270;10;3,288;986,400;20%;$1,187,626;$5,947,680;City Bus
88;20.6;$6.10;31,525;292,740;7;1,996;598,800;17%;$720,955;$4,371,245;City Bus
89;19.8;$6.41;27,993;277,800;6;1,704;511,200;16%;$615,485;$3,891,782;City Bus
108;33.3;$2.38;55,542;557,794;11;5,274;1,656,036;36%;$2,232,337;$6,167,284;City Bus
G;42.8;$2.77;106,652;1,115,920;31;14,400;4,204,089;30%;$5,061,723;$16,699,374;City Bus
H;32.7;$4.03;45,200;429,684;14;4,644;1,360,956;23%;$1,638,591;$7,123,071;City Bus
J;27.8;$4.09;28,646;261,980;6;2,448;734,400;23%;$884,218;$3,884,529;City Bus
K;41.8;$2.56;63,133;588,160;16;8,116;2,434,800;32%;$2,931,499;$9,172,299;City Bus
L;32;$4.13;67,529;698,740;20;6,641;1,992,300;23%;$2,398,729;$10,626,731;City Bus
R;50.3;$1.75;58,020;565,130;12;8,964;2,689,200;41%;$3,237,797;$7,942,687;City Bus
XH;41.8;$2.62;38,502;366,486;10;4,834;1,482,444;32%;$1,784,863;$5,668,289;City Bus
